source_group	source_file	dataset_hint	cell_marker	line_number	evidence_kind	symbol	confidence	note	snippet
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 11 [code]	312	center_log_prob_storage	"mut[""log_prob""]"	direct	Center-position log probabilities are stored into the mutation dictionary.	"310:             log_probs = mpnn_model(X, S, mask, chain_M*chain_M_pos, residue_idx, chain_encoding_all, randn_1)\n311:             # Adding the log_probs to the same inner dictionary where DDG values exist for easier comparison\n312:             mut[""log_prob""] = log_probs.cpu().data.numpy()\n313:\n314: # %% cell 12 [code]"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 11 [code]	312	v3_field_storage	V3 mutation-dictionary field	direct	One of the ProteinMPNN-derived V3 fields is stored in the mutation dictionary.	"310:             log_probs = mpnn_model(X, S, mask, chain_M*chain_M_pos, residue_idx, chain_encoding_all, randn_1)\n311:             # Adding the log_probs to the same inner dictionary where DDG values exist for easier comparison\n312:             mut[""log_prob""] = log_probs.cpu().data.numpy()\n313:\n314: # %% cell 12 [code]"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 11 [code]	399	center_log_prob_storage	"mut[""log_prob""]"	direct	Center-position log probabilities are stored into the mutation dictionary.	"397:             log_probs = mpnn_model(X, S, mask, chain_M*chain_M_pos, residue_idx, chain_encoding_all, randn_1)\n398:             # Adding the log_probs to the same inner dictionary where DDG values exist for easier comparison\n399:             mut[""log_prob""] = log_probs.cpu().data.numpy()\n400:\n401: # %% cell 12 [code]"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 11 [code]	399	v3_field_storage	V3 mutation-dictionary field	direct	One of the ProteinMPNN-derived V3 fields is stored in the mutation dictionary.	"397:             log_probs = mpnn_model(X, S, mask, chain_M*chain_M_pos, residue_idx, chain_encoding_all, randn_1)\n398:             # Adding the log_probs to the same inner dictionary where DDG values exist for easier comparison\n399:             mut[""log_prob""] = log_probs.cpu().data.numpy()\n400:\n401: # %% cell 12 [code]"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 7 [code]	831	modified_declayer_message_return	decoder message tensor	direct	DecLayer.forward returns per-edge decoder messages together with updated node state.	"829:\n830:         # ""h_message"" can be returned without dividing by ""self.scale"" also\n831:         return h_V, (h_message/self.scale)\n832:\n833:"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 7 [code]	1071	modified_forward_return_log_probs_messages_only	log_probs, decoder_messages	direct	Earlier notebook variant returns log probabilities and decoder messages, but not node embeddings.	1069:         log_probs = F.log_softmax(logits, dim=-1)\n1070:         # messages from the last layer decoder will also be returned for extracting neighbor-attention approximation\n1071:         return log_probs, decoder_messages\n1072:\n1073:
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 13 [code]	1609	neighbor_index_function_definition	return_neighbor_info	direct	Notebook-side helper exposes nearest-neighbor distances and residue indices from coordinates.	1607:     return D_neighbors, E_idx\n1608:\n1609: def return_neighbor_info(X, mask):\n1610:     b = X[:,:,1,:] - X[:,:,0,:]\n1611:     c = X[:,:,2,:] - X[:,:,1,:]
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 13 [code]	1609	neighbor_index_function_call	return_neighbor_info(X, mask)	direct	Feature-generation code asks for local neighbor distances and indices for the current featurized structure.	1607:     return D_neighbors, E_idx\n1608:\n1609: def return_neighbor_info(X, mask):\n1610:     b = X[:,:,1,:] - X[:,:,0,:]\n1611:     c = X[:,:,2,:] - X[:,:,1,:]
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 14 [code]	1764	neighbor_index_function_call	return_neighbor_info(X, mask)	direct	Feature-generation code asks for local neighbor distances and indices for the current featurized structure.	"1762:             # get 48 norm values, and fetch out the 5 highest values from there\n1763:             message_norms = (torch.linalg.vector_norm(x=decoder_messages[0,seq_index,:,:],ord=2,dim=1))\n1764:             local_distances, local_neighbors = return_neighbor_info(X, mask)\n1765:             # ""top_5_attended_neighbor_indices"" is the indices from [0,47] corresponding to the highest attended neighbors\n1766:             top_5_attention_vals, top_5_attended_neighbor_indices = torch.topk(message_norms,k=10)"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 14 [code]	1755	center_log_prob_storage	"mut[""log_prob""]"	direct	Center-position log probabilities are stored into the mutation dictionary.	"1753:             log_probs, decoder_messages = mpnn_model(X, S, mask, chain_M*chain_M_pos, residue_idx, chain_encoding_all, randn_1)\n1754:             # Adding the log_probs to the same inner dictionary where DDG values exist for easier comparison\n1755:             mut[""log_prob""] = log_probs.cpu().data.numpy()\n1756:\n1757:             # the top_5 attention weights will be stored here for weighted sum later"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 14 [code]	1766	topk_message_neighbor_selection	torch.topk(message_norms)	direct	Highest-norm center-to-neighbor message edges are selected.	"1764:             local_distances, local_neighbors = return_neighbor_info(X, mask)\n1765:             # ""top_5_attended_neighbor_indices"" is the indices from [0,47] corresponding to the highest attended neighbors\n1766:             top_5_attention_vals, top_5_attended_neighbor_indices = torch.topk(message_norms,k=10)\n1767:             # now, using ""local_neighbors"" to get the original indices of the neighbors corresponding to the top_5 attended positions\n1768:             top_5_attended_neighbor_indices = local_neighbors[0,seq_index,top_5_attended_neighbor_indices]"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 14 [code]	1755	v3_field_storage	V3 mutation-dictionary field	direct	One of the ProteinMPNN-derived V3 fields is stored in the mutation dictionary.	"1753:             log_probs, decoder_messages = mpnn_model(X, S, mask, chain_M*chain_M_pos, residue_idx, chain_encoding_all, randn_1)\n1754:             # Adding the log_probs to the same inner dictionary where DDG values exist for easier comparison\n1755:             mut[""log_prob""] = log_probs.cpu().data.numpy()\n1756:\n1757:             # the top_5 attention weights will be stored here for weighted sum later"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 14 [code]	1771	v3_field_storage	V3 mutation-dictionary field	direct	One of the ProteinMPNN-derived V3 fields is stored in the mutation dictionary.	"1769:             top_10_closest_neighbor_indices = local_neighbors[0,seq_index,1:11]\n1770:             top_15_closest_neighbor_indices = local_neighbors[0,seq_index,1:16]\n1771:             mut[""top_5_attention_weights""] = top_5_attention_vals.cpu().data.numpy()\n1772:             # the neighbor indices corresponding to the top_5 attention weights will be stored here for entropy calculation later\n1773:             # 0-based indices of the neighbors will be saved so that corresponding log-probability vectors can be extracted readily from ""log_prob"" keyed value"
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	%% cell 14 [code]	1774	v3_field_storage	V3 mutation-dictionary field	direct	One of the ProteinMPNN-derived V3 fields is stored in the mutation dictionary.	"1772:             # the neighbor indices corresponding to the top_5 attention weights will be stored here for entropy calculation later\n1773:             # 0-based indices of the neighbors will be saved so that corresponding log-probability vectors can be extracted readily from ""log_prob"" keyed value\n1774:             mut[""top_5_neighbor_indices""] = top_5_attended_neighbor_indices.cpu().data.numpy()\n1775:             mut[""top_10_closest_neighbor_indices""] = top_10_closest_neighbor_indices.cpu().data.numpy()\n1776:             mut[""top_15_closest_neighbor_indices""] = top_15_closest_neighbor_indices.cpu().data.numpy()"
