paragraph_index	relationship_id	target	paragraph_mentions_figure6	paragraph_text
18	rId10	media/image1.png	False	To address these limitations, in this work, we introduce PMPNN-DDG, where the recently proposed message passing encoder decoder-based autoregressive protein design model, ProteinMPNN (PMPNN) [15], is utilized to extract a minimal set of interpretable features with significantly non-overlapping information content. These features, inherently capable of capturing the differences between members of forward-reverse pairs, can ideally quantify the structural frustration induced by single point mutations. Subsequently, these are combined with PSSM-derived evolutionary conservation features, before training a RF regressor model. Finally, we establish through rigorous evaluation that inclusion of our proposed features results in PMPNN-DDG outperforming the existing state-of-the-art DDG prediction models on several well-Figure 1: System diagram of PMPNN-DDG. As shown in this figure, we first select the training set, and three independent test sets from the literature, extract and analyze our proposed features from MPNN, combine them with widely used evolutionary conservation features, train a Random Forest regression model using the combined feature vector on the training set, measure the efficacy of PMPNN-DDG on the test sets using widely used evaluation measures, and compare PMPNN-DDG with several existing state-of-the-art DDG prediction methods.Figure 1: System diagram of PMPNN-DDG. As shown in this figure, we first select the training set, and three independent test sets from the literature, extract and analyze our proposed features from MPNN, combine them with widely used evolutionary conservation features, train a Random Forest regression model using the combined feature vector on the training set, measure the efficacy of PMPNN-DDG on the test sets using widely used evaluation measures, and compare PMPNN-DDG with several existing state-of-the-art DDG prediction methods.established benchmark datasets.
18	rId10	media/image1.png	False	To address these limitations, in this work, we introduce PMPNN-DDG, where the recently proposed message passing encoder decoder-based autoregressive protein design model, ProteinMPNN (PMPNN) [15], is utilized to extract a minimal set of interpretable features with significantly non-overlapping information content. These features, inherently capable of capturing the differences between members of forward-reverse pairs, can ideally quantify the structural frustration induced by single point mutations. Subsequently, these are combined with PSSM-derived evolutionary conservation features, before training a RF regressor model. Finally, we establish through rigorous evaluation that inclusion of our proposed features results in PMPNN-DDG outperforming the existing state-of-the-art DDG prediction models on several well-Figure 1: System diagram of PMPNN-DDG. As shown in this figure, we first select the training set, and three independent test sets from the literature, extract and analyze our proposed features from MPNN, combine them with widely used evolutionary conservation features, train a Random Forest regression model using the combined feature vector on the training set, measure the efficacy of PMPNN-DDG on the test sets using widely used evaluation measures, and compare PMPNN-DDG with several existing state-of-the-art DDG prediction methods.Figure 1: System diagram of PMPNN-DDG. As shown in this figure, we first select the training set, and three independent test sets from the literature, extract and analyze our proposed features from MPNN, combine them with widely used evolutionary conservation features, train a Random Forest regression model using the combined feature vector on the training set, measure the efficacy of PMPNN-DDG on the test sets using widely used evaluation measures, and compare PMPNN-DDG with several existing state-of-the-art DDG prediction methods.established benchmark datasets.
42	rId11	media/image2.png	False	Figure 2: Overview of proposed PMPNN-based feature extraction procedure. Input tensors are shown in green, PMPNN encoder, decoder, and embedding sub-networks are shown in grey, the output vectors extracted from PMPNN are shown in blue, and our extracted features are shown in violet.Figure 2: Overview of proposed PMPNN-based feature extraction procedure. Input tensors are shown in green, PMPNN encoder, decoder, and embedding sub-networks are shown in grey, the output vectors extracted from PMPNN are shown in blue, and our extracted features are shown in violet.
42	rId11	media/image2.png	False	Figure 2: Overview of proposed PMPNN-based feature extraction procedure. Input tensors are shown in green, PMPNN encoder, decoder, and embedding sub-networks are shown in grey, the output vectors extracted from PMPNN are shown in blue, and our extracted features are shown in violet.Figure 2: Overview of proposed PMPNN-based feature extraction procedure. Input tensors are shown in green, PMPNN encoder, decoder, and embedding sub-networks are shown in grey, the output vectors extracted from PMPNN are shown in blue, and our extracted features are shown in violet.
62	rId12	media/image3.png	False	Figure 3 : Norm-Ratio and Change-Norm are denoted by NR and CN, respectively. Here, PCC refers to Pearson Correlation Coefficient of our proposed features C (green) and D(red) with experimental DDG labels on S_2648 training instances. For C, PCC is significantly higher when NR instead of CN is utilized for compressing each of the center → neighbor message change vectors into one scalar value. For D, PCC is lower for NR. Therefore, we utilize NR for C, and CN for D.    Figure 3 : Norm-Ratio and Change-Norm are denoted by NR and CN, respectively. Here, PCC refers to Pearson Correlation Coefficient of our proposed features C (green) and D(red) with experimental DDG labels on S_2648 training instances. For C, PCC is significantly higher when NR instead of CN is utilized for compressing each of the center → neighbor message change vectors into one scalar value. For D, PCC is lower for NR. Therefore, we utilize NR for C, and CN for D.      2
62	rId12	media/image3.png	False	Figure 3 : Norm-Ratio and Change-Norm are denoted by NR and CN, respectively. Here, PCC refers to Pearson Correlation Coefficient of our proposed features C (green) and D(red) with experimental DDG labels on S_2648 training instances. For C, PCC is significantly higher when NR instead of CN is utilized for compressing each of the center → neighbor message change vectors into one scalar value. For D, PCC is lower for NR. Therefore, we utilize NR for C, and CN for D.    Figure 3 : Norm-Ratio and Change-Norm are denoted by NR and CN, respectively. Here, PCC refers to Pearson Correlation Coefficient of our proposed features C (green) and D(red) with experimental DDG labels on S_2648 training instances. For C, PCC is significantly higher when NR instead of CN is utilized for compressing each of the center → neighbor message change vectors into one scalar value. For D, PCC is lower for NR. Therefore, we utilize NR for C, and CN for D.      2
97	rId13	media/image4.png	False	Figure 4: PMPPN extracted feature-feature Correlation-Heatmap for S_2648 training instances. DDG refers to experimental DDG labels. It can be observed that among A, B, C, and D, all pairs seem sufficiently uncorrelated. On the other hand, feature C shows a PCC of -0.15 with the corresponding experimental DDG values, which is the minimum feature-label correlation in terms of PCC magnitude. Thus, the features are individually potent for the task of experimental DDG prediction due to satisfactory feature-label correlation, and they might perform well together due to low feature-feature correlations.Figure 4: PMPPN extracted feature-feature Correlation-Heatmap for S_2648 training instances. DDG refers to experimental DDG labels. It can be observed that among A, B, C, and D, all pairs seem sufficiently uncorrelated. On the other hand, feature C shows a PCC of -0.15 with the corresponding experimental DDG values, which is the minimum feature-label correlation in terms of PCC magnitude. Thus, the features are individually potent for the task of experimental DDG prediction due to satisfactory feature-label correlation, and they might perform well together due to low feature-feature correlations.While extracting the features A, B, C, D, and E from PMPNN one by one, we attempt to get an initial estimation of how potent these individually are for the task of experimental DDG prediction, and how they might perform together when combined through a downstream ML model. For this purpose, we examine the Pearson Correlation Coefficient (PCC) of each of the features with experimental DDG labels along with the pairwise feature-feature PCC values on S_2648 training set, which are reported through the correlation heatmap in Figure 4.
97	rId13	media/image4.png	False	Figure 4: PMPPN extracted feature-feature Correlation-Heatmap for S_2648 training instances. DDG refers to experimental DDG labels. It can be observed that among A, B, C, and D, all pairs seem sufficiently uncorrelated. On the other hand, feature C shows a PCC of -0.15 with the corresponding experimental DDG values, which is the minimum feature-label correlation in terms of PCC magnitude. Thus, the features are individually potent for the task of experimental DDG prediction due to satisfactory feature-label correlation, and they might perform well together due to low feature-feature correlations.Figure 4: PMPPN extracted feature-feature Correlation-Heatmap for S_2648 training instances. DDG refers to experimental DDG labels. It can be observed that among A, B, C, and D, all pairs seem sufficiently uncorrelated. On the other hand, feature C shows a PCC of -0.15 with the corresponding experimental DDG values, which is the minimum feature-label correlation in terms of PCC magnitude. Thus, the features are individually potent for the task of experimental DDG prediction due to satisfactory feature-label correlation, and they might perform well together due to low feature-feature correlations.While extracting the features A, B, C, D, and E from PMPNN one by one, we attempt to get an initial estimation of how potent these individually are for the task of experimental DDG prediction, and how they might perform together when combined through a downstream ML model. For this purpose, we examine the Pearson Correlation Coefficient (PCC) of each of the features with experimental DDG labels along with the pairwise feature-feature PCC values on S_2648 training set, which are reported through the correlation heatmap in Figure 4.
116	rId14	media/image5.png	False	Figure 5: Final feature-set. All-pair Correlation-Heatmap for S_2648 training instances. DDG refers to experimental DDG labels. A, B, C, D, and E, are our proposed PMPNN extracted features, while F, G, and H are widely used evolutionary features. It can be observed that among A, B, C, and D, all pairs seem sufficiently uncorrelated. On the other hand, feature C shows a PCC of -0.15 with the corresponding experimental DDG values, which is the minimum feature-label correlation in terms of PCC magnitude. Thus, the features are individually potent for the task of experimental DDG prediction due to satisfactory feature-label correlation, and they might perform well together due to low feature-feature correlations. Additionally, F, G, and H show maximum PCC magnitudes of 0.32, 0.15, and 0.39 with A, A, and E-1, respectively. This indicates that most of the dimensions in our final feature space contain significantly non-overlapping information encoding different aspects of the mutation under consideration. Figure 5: Final feature-set. All-pair Correlation-Heatmap for S_2648 training instances. DDG refers to experimental DDG labels. A, B, C, D, and E, are our proposed PMPNN extracted features, while F, G, and H are widely used evolutionary features. It can be observed that among A, B, C, and D, all pairs seem sufficiently uncorrelated. On the other hand, feature C shows a PCC of -0.15 with the corresponding experimental DDG values, which is the minimum feature-label correlation in terms of PCC magnitude. Thus, the features are individually potent for the task of experimental DDG prediction due to satisfactory feature-label correlation, and they might perform well together due to low feature-feature correlations. Additionally, F, G, and H show maximum PCC magnitudes of 0.32, 0.15, and 0.39 with A, A, and E-1, respectively. This indicates that most of the dimensions in our final feature space contain significantly non-overlapping information encoding different aspects of the mutation under consideration.
116	rId14	media/image5.png	False	Figure 5: Final feature-set. All-pair Correlation-Heatmap for S_2648 training instances. DDG refers to experimental DDG labels. A, B, C, D, and E, are our proposed PMPNN extracted features, while F, G, and H are widely used evolutionary features. It can be observed that among A, B, C, and D, all pairs seem sufficiently uncorrelated. On the other hand, feature C shows a PCC of -0.15 with the corresponding experimental DDG values, which is the minimum feature-label correlation in terms of PCC magnitude. Thus, the features are individually potent for the task of experimental DDG prediction due to satisfactory feature-label correlation, and they might perform well together due to low feature-feature correlations. Additionally, F, G, and H show maximum PCC magnitudes of 0.32, 0.15, and 0.39 with A, A, and E-1, respectively. This indicates that most of the dimensions in our final feature space contain significantly non-overlapping information encoding different aspects of the mutation under consideration. Figure 5: Final feature-set. All-pair Correlation-Heatmap for S_2648 training instances. DDG refers to experimental DDG labels. A, B, C, D, and E, are our proposed PMPNN extracted features, while F, G, and H are widely used evolutionary features. It can be observed that among A, B, C, and D, all pairs seem sufficiently uncorrelated. On the other hand, feature C shows a PCC of -0.15 with the corresponding experimental DDG values, which is the minimum feature-label correlation in terms of PCC magnitude. Thus, the features are individually potent for the task of experimental DDG prediction due to satisfactory feature-label correlation, and they might perform well together due to low feature-feature correlations. Additionally, F, G, and H show maximum PCC magnitudes of 0.32, 0.15, and 0.39 with A, A, and E-1, respectively. This indicates that most of the dimensions in our final feature space contain significantly non-overlapping information encoding different aspects of the mutation under consideration.
